,_id,site_id,time,temperature_2m,relative_humidity_2m,apparent_temperature,precipitation,wind_speed_10m,wind_speed_100m,creation_time_iso
0,65f33d8c44a02fe1b4f48bad,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T00:00,8.9,91,6.1,0.0,15.4,28.9,2023-12-31T18:30:00
1,65f33d8c44a02fe1b4f48bae,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T01:00,8.5,91,5.6,0.0,14.9,27.8,2023-12-31T19:30:00
2,65f33d8c44a02fe1b4f48baf,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T02:00,8.2,92,5.4,0.0,13.9,26.5,2023-12-31T20:30:00
3,65f33d8c44a02fe1b4f48bb0,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T03:00,8.9,88,6.3,0.0,12.6,25.0,2023-12-31T21:30:00
4,65f33d8c44a02fe1b4f48bb1,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T04:00,11.3,76,9.2,0.0,9.9,24.2,2023-12-31T22:30:00
5,65f33d8c44a02fe1b4f48bb2,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T05:00,14.1,63,11.6,0.0,12.5,22.2,2023-12-31T23:30:00
6,65f33d8c44a02fe1b4f48bb3,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T06:00,16.8,49,13.7,0.0,14.8,18.1,2024-01-01T00:30:00
7,65f33d8c44a02fe1b4f48bb4,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T07:00,18.8,38,15.4,0.0,16.3,19.2,2024-01-01T01:30:00
8,65f33d8c44a02fe1b4f48bb5,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T08:00,20.2,32,16.5,0.0,17.6,20.3,2024-01-01T02:30:00
9,65f33d8c44a02fe1b4f48bb6,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T09:00,21.1,29,17.0,0.0,18.3,21.0,2024-01-01T03:30:00
10,65f33d8c44a02fe1b4f48bb7,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T10:00,21.4,28,16.9,0.0,18.8,22.3,2024-01-01T04:30:00
11,65f33d8c44a02fe1b4f48bb8,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T11:00,21.1,27,16.3,0.0,19.9,23.7,2024-01-01T05:30:00
12,65f33d8c44a02fe1b4f48bb9,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T12:00,19.8,30,15.5,0.0,16.8,24.7,2024-01-01T06:30:00
13,65f33d8c44a02fe1b4f48bba,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T13:00,16.7,42,13.0,0.0,14.9,24.7,2024-01-01T07:30:00
14,65f33d8c44a02fe1b4f48bbb,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T14:00,15.4,47,11.8,0.0,15.3,27.3,2024-01-01T08:30:00
15,65f33d8c44a02fe1b4f48bbc,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T15:00,14.3,52,10.7,0.0,16.0,29.0,2024-01-01T09:30:00
16,65f33d8c44a02fe1b4f48bbd,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T16:00,13.3,57,9.7,0.0,16.9,29.9,2024-01-01T10:30:00
17,65f33d8c44a02fe1b4f48bbe,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T17:00,12.4,63,9.0,0.0,16.1,29.2,2024-01-01T11:30:00
18,65f33d8c44a02fe1b4f48bbf,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T18:00,11.5,68,8.2,0.0,16.0,29.1,2024-01-01T12:30:00
19,65f33d8c44a02fe1b4f48bc0,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T19:00,10.8,72,7.6,0.0,15.0,28.1,2024-01-01T13:30:00
20,65f33d8c44a02fe1b4f48bc1,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T20:00,10.1,76,7.0,0.0,14.5,26.9,2024-01-01T14:30:00
21,65f33d8c44a02fe1b4f48bc2,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T21:00,9.5,80,6.6,0.0,13.7,25.2,2024-01-01T15:30:00
22,65f33d8c44a02fe1b4f48bc3,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T22:00,8.9,84,6.1,0.0,12.7,23.4,2024-01-01T16:30:00
23,65f33d8c44a02fe1b4f48bc4,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-01T23:00,8.3,87,5.6,0.0,12.5,22.9,2024-01-01T17:30:00
24,65f33d8c44a02fe1b4f48bc5,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T00:00,7.9,90,5.1,0.0,12.5,23.2,2024-01-01T18:30:00
25,65f33d8c44a02fe1b4f48bc6,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T01:00,7.6,91,4.9,0.0,12.7,23.0,2024-01-01T19:30:00
26,65f33d8c44a02fe1b4f48bc7,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T02:00,7.4,92,4.5,0.0,13.0,23.6,2024-01-01T20:30:00
27,65f33d8c44a02fe1b4f48bc8,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T03:00,8.2,89,5.7,0.0,11.2,22.5,2024-01-01T21:30:00
28,65f33d8c44a02fe1b4f48bc9,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T04:00,10.6,78,8.6,0.0,8.1,20.6,2024-01-01T22:30:00
29,65f33d8c44a02fe1b4f48bca,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T05:00,13.5,64,11.3,0.0,10.2,18.6,2024-01-01T23:30:00
30,65f33d8c44a02fe1b4f48bcb,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T06:00,16.5,50,13.7,0.0,12.5,15.3,2024-01-02T00:30:00
31,65f33d8c44a02fe1b4f48bcc,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T07:00,18.6,37,15.6,0.0,13.9,16.2,2024-01-02T01:30:00
32,65f33d8c44a02fe1b4f48bcd,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T08:00,20.2,30,16.8,0.0,15.0,17.3,2024-01-02T02:30:00
33,65f33d8c44a02fe1b4f48bce,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T09:00,21.1,27,17.2,0.0,15.9,18.5,2024-01-02T03:30:00
34,65f33d8c44a02fe1b4f48bcf,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T10:00,21.5,25,17.0,0.0,17.1,19.7,2024-01-02T04:30:00
35,65f33d8c44a02fe1b4f48bd0,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T11:00,21.0,25,16.4,0.0,17.7,20.9,2024-01-02T05:30:00
36,65f33d8c44a02fe1b4f48bd1,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T12:00,19.7,28,15.5,0.0,15.0,22.7,2024-01-02T06:30:00
37,65f33d8c44a02fe1b4f48bd2,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T13:00,16.2,44,12.7,0.0,13.7,23.4,2024-01-02T07:30:00
38,65f33d8c44a02fe1b4f48bd3,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T14:00,14.9,49,11.5,0.0,14.0,25.2,2024-01-02T08:30:00
39,65f33d8c44a02fe1b4f48bd4,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T15:00,13.8,54,10.6,0.0,13.2,24.2,2024-01-02T09:30:00
40,65f33d8c44a02fe1b4f48bd5,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T16:00,13.0,58,9.9,0.0,13.0,24.5,2024-01-02T10:30:00
41,65f33d8c44a02fe1b4f48bd6,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T17:00,12.1,61,8.8,0.0,14.3,26.1,2024-01-02T11:30:00
42,65f33d8c44a02fe1b4f48bd7,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T18:00,11.4,65,8.2,0.0,13.8,26.0,2024-01-02T12:30:00
43,65f33d8c44a02fe1b4f48bd8,d08a2ef0-facd-11ed-a890-0242bed38519,2024-01-02T19:00,10.6,70,7.6,0.0,13.1,25.0,2024-01-02T13:30:00
